id,nom,type,longitude,latitude
1,CDC DE CAPTIEUX-GRIGNOLS,epci,-0.3900205,44.3487985
2,Centre de transfert de Fargues,transfert,-0.271783,44.5322
3,CDC DE CESTAS-CANEJAN,epci,-0.6590776,44.7572585
4,Centre de transfert de Pompignac,transfert,-0.447177,44.864895
5,CDC DE MONTESQUIEU,epci,-0.564636913081633,44.6628660286652
6,UIOM de Bègles - ASTRIA,traitement,-0.582964,44.784434
7,CDC DE VILLANDRAUT,epci,-0.358691,44.64958
8,CDC DU BAZADAIS,epci,-0.477302,44.3487985
9,CDC DU CANTON DE PODENSAC,epci,-0.41012290840718,44.5944422153306
10,CDC DU PAYS DE PAROUPIAN,epci,-0.2503412,44.5304218
11,CDC DU VAL DE L'EYRE,epci,-0.785035,44.501358
12,CDC MEDOC-ESTUAIRE,epci,-0.674287641212728,45.0219303129661
13,Centre de transfert d'Arsac,transfert,-0.67535,44.98273
14,CDC MEDULIENNE,epci,-0.947757416409081,44.9464362659491
15,Centre de transfert de Castelnau Médoc,transfert,-0.793253,45.030196
16,COBAN ATLANTIQUE,epci,-0.992999556501932,44.716688899524
17,Centre de transfert de Lège Cap Ferret,transfert,-1.157641,44.791486
18,COBAS,epci,-1.12022704719517,44.5704757398662
19,Centre de transfert de La Teste de Buch,transfert,-1.114143,44.600006
20,CUB,epci,-0.638971477111379,44.8778136382074
21,Centre de transfert de Bordeaux- Latule,transfert,-0.547793,44.880893
22,Centre de transfert Saint Médard en Jalles - Touban,transfert,-0.717073,44.855902
23,UIOM de Cenon,traitement,-0.090259,44.584143
24,MARTIGNAS-SUR-JALLE,epci,-0.771118926769427,44.7616647555347
25,SAINT-JEAN-D'ILLAC,epci,-0.782209,44.811257
26,SEMOCTOM,epci,-0.285065,44.766351
27,Centre de transfert de Saint Léon,transfert,-0.276643,44.768706
28,SICTOM DU LANGONNAIS,epci,-0.0072632,44.8768788
29,SIVOM DE LA RIVE DROITE,epci,2.626581,46.536812
30,SM DU SAUTERNAIS,epci,-0.34321,44.53446
31,SMICOTOM,epci,-0.285065,44.766351
32,CSDU de Naujac,traitement,-0.793891,45.161715
33,SMICTOM DE CASTILLON LA BATAILLE,epci,-0.043008,44.852067
34,Centre de transfert de Massugas,transfert,0.034283,44.689669
35,SMICVAL,epci,-0.15891,45.000777
36,Centre de transfert de Saint Girons d'Aiguevives,transfert,-0.538476,45.141174
37,Centre de transfert de Saint Denis de Pile,transfert,-0.148963,44.994033
38,USERCTOM DE MONSEGUR,epci,-0.04315526932374,44.5581936794618
40,CSDU de Lapouyade,traitement,-0.286331,45.084809
